inserttime,period,position,balance,profitloss,status
12/12/22 19:05,0,short,100,0,live
12/12/22 20:08,1,short,100.0129924,-0.012992433,live
12/12/22 21:20,2,short,100.0142646,-0.014264562,live
12/12/22 22:32,3,short,100.0204283,-0.020428257,live
12/12/22 23:34,4,short,100.0317385,-0.031738527,exited
12/13/22 0:35,5,short,100.0317385,-0.031738527,exited
12/13/22 1:35,6,short,100.0317385,-0.031738527,exited
12/13/22 2:32,7,short,100.0317385,-0.031738527,exited
12/13/22 3:30,8,short,100.0317385,-0.031738527,exited
12/13/22 4:26,9,short,100.0317385,-0.031738527,exited
